,姓名,性别,职称,医院,一级科室,二级科室,简介
1145,严春晓,女,副主任医师,浙江大学医学院附属第二医院,妇产科,妇科,"宫颈,月经,相关,失调,方面,诊治,阴道镜,妇科炎症"
1146,穆琳,女,副主任医师,浙江大学医学院附属第二医院,妇产科,妇科,"子宫,妇科,手术,微创,宫腔镜,卵巢癌,腹腔镜,腺肌症"
1147,王小韵,女,副主任医师,浙江大学医学院附属第二医院,妇产科,妇科,"子宫,主持,技术,微创,宫腔镜,腹腔镜,致力于,论著"
1148,邓博雅,女,副主任医师,浙江大学医学院附属第二医院,妇产科,妇科,"妇科,国际,访问学者,研究成果,aacr,日本,sci,生命"
1149,封纯,女,副主任医师,浙江大学医学院附属第二医院,妇产科,多囊卵巢综合症性不孕专科,"综合症,不孕,青春期,内分泌,不育,妇科,更年期,诊治"
1150,严春晓,女,副主任医师,浙江大学医学院附属第二医院,妇产科,宫颈专科,"宫颈,月经,相关,失调,方面,诊治,阴道镜,妇科炎症"
1151,冯建华,男,,浙江大学医学院附属第二医院,儿科,滨江小儿神经专科,"小儿,深入,诊断,多动症,疾病,抽动症,神经系统,多发性"
1152,肖建军,女,副主任医师,浙江大学医学院附属第二医院,儿科,滨江小儿神经专科,"疾病,诊治,内科,常见病,小儿,擅长,脑炎,神经内科"
1153,冯建华,男,,浙江大学医学院附属第二医院,儿科,小儿神经专科,"小儿,深入,诊断,多动症,疾病,抽动症,神经系统,多发性"
1154,郑朝光,男,副主任医师,浙江大学医学院附属第二医院,儿科,滨江新生儿专科,"内科,治疗,小儿,早产儿,常见病,诊断,新生儿,监护"
1155,姚克,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"擅长,复杂性,病例,白内障,诊治,青光眼,手术,角膜"
1156,陈芝清,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"视网膜,疾病,治疗,脉络膜,pdt,眼底,病变,性"
1157,杨亚波,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"诊疗,近视,弱视,激光,斜视,远视,老视,眼科"
1158,杜新华,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"手术,角膜,近视,诊疗,激,诊断,病,擅长"
1159,方肖云,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"视网膜,手术,病变,诊疗,开展,眼科,疾病,黄斑"
1160,林季建,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"视网膜,手术,诊疗,糖尿病,病变,治疗,病例,眼外伤"
1161,孙朝晖,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"眼科,斜视,眼病,诊断,弱视,手术,小儿,诊疗"
1162,申屠形超,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"手术,疾病,白内障,青光眼,诊断,眼外伤,视网膜,玻璃体"
1163,邱培瑾,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"准分子,诊断,激光,疾病,矫正,眼表,近视,病"
1164,晋秀明,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"角膜,眼表,手术,泪道病,眼病,诊治,干,擅长"
1165,高涛,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"眼眶,诊治,眼睑,手术,骨折,肿瘤,擅长,美容"
1166,尹金福,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"青光眼,手术,白内障,常见病,多发病,眼科,疑难,擅长"
1167,姜节凯,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"手术,救治,疾病,脱离,眼部,诊治,肿瘤,眼外伤"
1168,倪海龙,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"防治,角膜,近视,保健,青少年儿童,弱视,眼,塑形"
1169,叶娟,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"眼部,眼,眼睑,擅长,肿瘤,外伤,摘除,眼球"
1170,陈佩卿,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"晶体,技术,疾病,青光眼,手术,人工,擅长,白内障"
1171,金红颖,女,,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"近视,疾病,诊疗,青光眼,准分子,白内障,激光治疗,植入术"
1172,徐雯,女,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"治疗,包括,青光眼,手术,疾病,远视,老花,激光治疗"
1173,苏兆安,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"激光,视网膜,病变,玻璃体,脉络膜,肿瘤,诊断,疾病"
1174,王凯军,男,主任医师、教授,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"青光眼,手术,疾病,白内障,诊疗,治疗,眼科,擅长"
1175,邸保忠,男,主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"诊治,弱视,眼,擅长,眼病,诊疗,屈光,角膜"
1176,黄晓丹,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"眼表,诊治,角膜,白内障,角膜炎,疾病,烧伤,移植手术"
1177,汤霞靖,女,副主任医生,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"斜视,弱视,矫正,儿童,屈光,手术,擅长,诊治"
1178,孙传宾,男,副主任医生,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"疾病,视路,视神经,葡萄膜,视网膜,神经,诊治,眼科"
1179,章征,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"治疗,视网膜,药物,疾病,诊断,手术,玻璃体,擅长"
1180,陈彬彬,女,副主任医生,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"近视,眼科,弱视,诊治,角膜,疾病,镜,儿童"
1181,俞一波,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"白内障,近视,青光眼,高度,擅长,诊治"
1182,张志勇,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科名医门诊,"视网膜,病变,黄斑,病,遗传,儿童,眼病,早产儿"
1183,吴炜,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"青光眼,植入,联合,继发性,白内障,引流,钉,切除"
1184,冯蕾,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"葡膜,诊断,疾病,多发病,眼科,常见病,擅长,治疗"
1185,吴芳,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"治疗,诊疗,老视,散光,擅长,屈光,远视,激光"
1186,张丽1,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"视网膜,玻璃体,疾病,诊治,黄斑,擅长,手术,光凝术"
1187,童女侠,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"眼科,温州,疑难病,下乡,教学,多发病,医院,科研"
1188,王玮,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"眼科,治疗,国家,擅长,自然科学,疑难病,手术,浙江省"
1189,张一栋,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"弱视,斜视,眼科,疾病,相关,擅长,屈光,小儿"
1190,霍亚楠,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"诊疗,眼表,疾病,疑难病,多发病,遗传性,眼病,常见病"
1191,陈敏,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"青光眼,诊治,虹膜,睫状体,贯穿,成形术,术,小梁"
1192,叶盼盼,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"视网膜,手术,复杂性,注射,药物,体腔,玻璃,玻璃体"
1193,马健,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"玻璃体,眼外伤,视网膜,疾病,擅长,诊治"
1194,万婷,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"激光,近视,植入术,散光,icl,白内障,干眼症,眼底病"
1195,吴涵,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"眼部,病,诊治,治疗,擅长,泪,眼眶,包括"
1196,林琳,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"角膜,眼表,疾病,移植,诊治,擅长,手术"
1197,宥永胜,男,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"联合,视网膜,激光,白内障,光凝,切割,玻腔,玻璃体"
1198,王瑶,女,副主任医师,浙江大学医学院附属第二医院,眼科,眼科中心门诊,"视网膜,疾病,擅长,玻璃体,黄斑,脱离,诊治,病变"
1199,何建国,男,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"鼻息肉,显微外科,鼻窦炎,耳,诊治,鼻窦,手术,中耳炎"
1200,袁晖,男,,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"鼻,病变,鼻窦,诊治,根治,手术,咽喉,内镜"
1201,杨蓓蓓1,女,教授，主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"手术,鼻窦,鼻腔,开展,新,耳,耳蜗,技术"
1202,常惠玉,女,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"手术,诊治,咽喉,疾病,擅长于,耳,耳聋,眩晕"
1203,蒋骅,男,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"手术,耳鼻咽,常见病,喉科,肿瘤,下鼻,头颈,鼻窦"
1204,岳利华,女,,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"喉科,耳鼻咽,耳,内窥镜,上海,显微外科,鼻窦,临床"
1205,李福军,男,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"手术,过敏性,常见病,鼻炎,肿瘤,下鼻,咽喉,鼻窦"
1206,徐霖,女,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"手术,诊治,声带,鼻腔,腺样体,微创,鼻炎,鼻窦炎"
1207,陈嘉,女,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,滨江耳鼻咽喉科门诊,"手术,鼻,耳聋,疾病,过敏性,声带,常见病,微创"
1208,詹文龙,男,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"耳鼻咽,根治,肿瘤,喉,常见病,疑难病,喉科,治疗"
1209,林志宏,男,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"诊治,耳鼻咽,声学,喉科,微创,内镜,鼻,声嘶"
1210,马未央,女,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"过敏性,喉炎,擅长于,鼻炎,咽炎,诊治,鼻窦炎"
1211,王华林,男,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,治疗,耳鼻咽,鼻息肉,喉,鼻,头颈,内窥镜"
1212,陈鸣,男,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"疾病,诊治,鼻息肉,喉癌,鼻窦炎,声带,鼻,息肉"
1213,常惠玉,女,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,诊治,咽喉,疾病,擅长于,耳,耳聋,眩晕"
1214,杨蓓蓓1,女,教授，主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,鼻窦,鼻腔,开展,新,耳,耳蜗,技术"
1215,范国康,男,主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"喉,手术,诊治,鼻息肉,鼻窦炎,声带,息肉,肿瘤"
1216,陈惠敏,女,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"诊治,耳鼻咽,鼻窦炎,喉科,常见病,疑难病,擅长,鼻"
1217,袁晖,男,,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"鼻,病变,鼻窦,诊治,根治,手术,咽喉,内镜"
1218,岳利华,女,,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"喉科,耳鼻咽,耳,内窥镜,上海,显微外科,鼻窦,临床"
1219,蒋骅,男,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,耳鼻咽,常见病,喉科,肿瘤,下鼻,头颈,鼻窦"
1220,朱永斌,男,副主任医生,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"耳鼻咽,喉科,下鼻,鼻窦,肿瘤,诊治,头颈,内镜"
1221,李福军,男,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,过敏性,常见病,鼻炎,肿瘤,下鼻,咽喉,鼻窦"
1222,陈嘉,女,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,鼻,耳聋,疾病,过敏性,声带,常见病,微创"
1223,徐霖,女,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"手术,诊治,声带,鼻腔,腺样体,微创,鼻炎,鼻窦炎"
1224,段洪刚,男,副主任医师,浙江大学医学院附属第二医院,耳鼻咽喉科,耳鼻咽喉科,"肿瘤,耳鼻喉科,医院,中西医,结合,sci,论文,抗癌"
1225,吴燕岷,女,主任医师,浙江大学医学院附属第二医院,口腔科,滨江口腔内科门诊,"牙周,治疗,牙周病,综合,缺失,手术,牙,美容"
1226,孙伟莲,女,主任医师,浙江大学医学院附属第二医院,口腔科,滨江口腔内科门诊,"口腔,牙周,牙龈增生,性,牙周炎,病,口腔溃疡,黏膜"
1227,赵丹萍,女,,浙江大学医学院附属第二医院,口腔科,滨江口腔内科门诊,"口腔,口腔溃疡,白斑,病,临床,口腔粘膜,性病,擅长"
1228,郑幼洋,女,副主任医师,浙江大学医学院附属第二医院,口腔科,滨江口腔内科门诊,"病,治疗,基础,擅长,牙齿,牙体,冷光,牙髓"
1229,马婧媛,女,副主任医生,浙江大学医学院附属第二医院,口腔科,滨江口腔内科门诊,"黏膜,牙体,牙周病,口腔溃疡,扁平苔藓,擅长,诊治,白斑"
1230,章燕珍,女,主任医师,浙江大学医学院附属第二医院,口腔科,滨江综合牙科,"修复,关节病,颞颌,全瓷,烤瓷,美齿,种植义齿,治疗"
1231,廖大鹏,男,,浙江大学医学院附属第二医院,口腔科,滨江综合牙科,"种植,口腔,专业,委员,博士,口腔医学,专委会,中华"
1232,郑幼洋,女,副主任医师,浙江大学医学院附属第二医院,口腔科,口腔内科,"病,治疗,基础,擅长,牙齿,牙体,冷光,牙髓"
1233,陈莉丽,女,主任医师，科主任,浙江大学医学院附属第二医院,口腔科,口腔内科,"牙龈,美容,出血,牙周,肿胀,牙龈炎,药物性,性"
1234,朱仲礼,男,副主任医师,浙江大学医学院附属第二医院,口腔科,口腔内科,"口腔医学,临床,切角,美容,部分,缺损,牙冠,牙体"
1235,赵丹萍,女,,浙江大学医学院附属第二医院,口腔科,口腔内科,"口腔,口腔溃疡,白斑,病,临床,口腔粘膜,性病,擅长"
1236,孙伟莲,女,主任医师,浙江大学医学院附属第二医院,口腔科,口腔内科,"口腔,牙周,牙龈增生,性,牙周炎,病,口腔溃疡,黏膜"
1237,吴燕岷,女,主任医师,浙江大学医学院附属第二医院,口腔科,口腔内科,"牙周,治疗,牙周病,综合,缺失,手术,牙,美容"
1238,马婧媛,女,副主任医生,浙江大学医学院附属第二医院,口腔科,口腔内科,"黏膜,牙体,牙周病,口腔溃疡,扁平苔藓,擅长,诊治,白斑"
1239,刘雁鸣,男,主任医师,浙江大学医学院附属第二医院,口腔科,口腔外科,"口腔,医师,委员,浙大,主任医师,肿瘤,分会,中心"
1240,黄剑奇,男,主任医师,浙江大学医学院附属第二医院,口腔科,口腔外科,"治疗,颌面部,线,恶性肿瘤,化学,口腔,栓塞,缺损"
1241,徐昕2,男,主任医师,浙江大学医学院附属第二医院,口腔科,口腔外科,"颌面部,口腔,教学,诊断,浙江医科大学,医疗,osa,外科"
1242,严奉国,男,,浙江大学医学院附属第二医院,口腔科,口腔外科,"浙江省,专业,口腔,协会,外科,委员会,颌面,头颈"
1243,平飞云,女,主任医师,浙江大学医学院附属第二医院,口腔科,口腔外科,"肿瘤,口腔,疑难杂症,高难度,诊治,临床,畸形,研究"
1244,季正文,男,副教授,浙江大学医学院附属第二医院,口腔科,口腔外科,"口腔,治疗,肿瘤,综合,损伤,颌面,序列,颌面部"
1245,严君烈,男,,浙江大学医学院附属第二医院,口腔科,口腔外科,"口腔,外科,年均,大学,医学院,浙江医科大学,口腔医学,参与"
1246,陈军,女,,浙江大学医学院附属第二医院,口腔科,口腔外科,"口腔,肿瘤,外科,主任医师,颌面部,治疗,颌面,导师"
1247,陈关福,男,教授,浙江大学医学院附属第二医院,口腔科,口腔外科,"口腔,颌面部,正颌,创伤,基础,研究,诊断,肿瘤"
1248,董研,女,主任医师,浙江大学医学院附属第二医院,口腔科,口腔修复,"修复,颌面,缺损,残根,痛,残冠,咬合,保存"
1249,吴素光,女,副主任医师,浙江大学医学院附属第二医院,口腔科,口腔修复,"修复,美容,全口义齿,体,冠,颞,牙周病,下颌"
1250,章燕珍,女,主任医师,浙江大学医学院附属第二医院,口腔科,口腔修复,"修复,关节病,颞颌,全瓷,烤瓷,美齿,种植义齿,治疗"
1251,武建潮,男,副高,浙江大学医学院附属第二医院,口腔科,口腔正畸,"诊治,生长发育,颜面,关节,下颌,疾病,颞,综合症"
1252,孙钢,男,副主任医师,浙江大学医学院附属第二医院,口腔科,口腔正畸,"正畸,睡眠,畸形,口腔,牙颌,错颌,联合,治疗"
1253,章卓鸣,女,副主任医师,浙江大学医学院附属第二医院,口腔科,口腔正畸,"成人,畸形,牙,联合,继发,正畸,正颌,颌面"
1254,王建有,男,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"诊治,皮肤病,痤疮,青春痘,泌尿,生殖道,感染,尖锐湿疣"
1255,吕中法,男,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"科技进步,学会,毛囊,省部级,获,制备,人工,皮肤"
1256,满孝勇,男,主任医师,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"浙江省,皮肤科,分会,皮肤性病,学,组成员,导师,国家自然科学基金"
1257,吴贤杰,男,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"皮肤科,发表,浙江大学,国家自然科学基金,中华医学会,临床,工作,中西医"
1258,张宪旗,男,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"浙江省,临床,承担,科学技术,参与,皮肤性病,相关,重点"
1259,蔡绥勍,女,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"皮肤,医师,皮肤科,工作,梯队,项,sci,分会"
1260,沈颖,女,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"皮肤病,学术交流,浙江省,体形,分会,管理,硕士,临床"
1261,劳力民,男,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"治疗,生殖器,深入,会诊,皮肤病,硕士生,导师,皮肤性病"
1262,曹越兰,女,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"皮肤病,疾病,激光,工作,医学院,研究生,美肤,硕士"
1263,陈积愫,女,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"疾病,美容,新药,激光,治疗,银屑病,诊断,过敏性"
1264,严建良,男,,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"皮炎,皮肤科,临床,斑,囊肿,常见病,激光治疗,湿疹"
1265,黄新炎,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"中医,委员,结合,唐祖宣,浙江大学,优秀教师,人民卫生出版社,影像"
1266,李伟3,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,滨江皮肤科门诊,"青年,皮肤性病,委员会,学组,皮肤病,学,皮肤,国家自然科学基金"
1267,张宪旗,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"浙江省,临床,承担,科学技术,参与,皮肤性病,相关,重点"
1268,郑敏*,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤科,中国,分会,中华医学会,医师,会,皮肤病,康复"
1269,满孝勇,男,主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"浙江省,皮肤科,分会,皮肤性病,学,组成员,导师,国家自然科学基金"
1270,劳力民,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"治疗,生殖器,深入,会诊,皮肤病,硕士生,导师,皮肤性病"
1271,蔡绥勍,女,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤,医师,皮肤科,工作,梯队,项,sci,分会"
1272,孙国钧,男,主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"疑难,皮肤科,临床,红斑狼疮,性疾病,皮肌炎,大疱,牛皮癣"
1273,曹越兰,女,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤病,疾病,激光,工作,医学院,研究生,美肤,硕士"
1274,吕中法,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"科技进步,学会,毛囊,省部级,获,制备,人工,皮肤"
1275,宋梅侣,女,主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤病,疑难,诊治,临床,擅长"
1276,吴荣荣,女,主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤,疑难,皮肤病,性病,病理,毛发,疾病,肿瘤"
1277,吴贤杰,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤科,发表,浙江大学,国家自然科学基金,中华医学会,临床,工作,中西医"
1278,王建有,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"诊治,皮肤病,痤疮,青春痘,泌尿,生殖道,感染,尖锐湿疣"
1279,梁爱民,女,副主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"疾病,诊断,治疗,难治性,银屑病,系统性,红斑狼疮,免疫性"
1280,刘伦飞,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"委员,皮肤,浙江省,卫生厅,发表,学会,专委会,美容"
1281,沈颖,女,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮肤病,学术交流,浙江省,体形,分会,管理,硕士,临床"
1282,严建良,男,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"皮炎,皮肤科,临床,斑,囊肿,常见病,激光治疗,湿疹"
1283,陈积愫,女,,浙江大学医学院附属第二医院,皮肤科,皮肤科,"疾病,美容,新药,激光,治疗,银屑病,诊断,过敏性"
1284,黄新炎,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"中医,委员,结合,唐祖宣,浙江大学,优秀教师,人民卫生出版社,影像"
1285,李伟3,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤科,"青年,皮肤性病,委员会,学组,皮肤病,学,皮肤,国家自然科学基金"
1286,满孝勇,男,主任医师,浙江大学医学院附属第二医院,皮肤科,银屑病专科,"浙江省,皮肤科,分会,皮肤性病,学,组成员,导师,国家自然科学基金"
1287,黄新炎,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,银屑病专科,"中医,委员,结合,唐祖宣,浙江大学,优秀教师,人民卫生出版社,影像"
1288,吴贤杰,男,,浙江大学医学院附属第二医院,皮肤科,脱发专科,"皮肤科,发表,浙江大学,国家自然科学基金,中华医学会,临床,工作,中西医"
1289,吕中法,男,,浙江大学医学院附属第二医院,皮肤科,脱发专科,"科技进步,学会,毛囊,省部级,获,制备,人工,皮肤"
1290,曹越兰,女,,浙江大学医学院附属第二医院,皮肤科,痤疮专科,"皮肤病,疾病,激光,工作,医学院,研究生,美肤,硕士"
1291,王建有,男,,浙江大学医学院附属第二医院,皮肤科,痤疮专科,"诊治,皮肤病,痤疮,青春痘,泌尿,生殖道,感染,尖锐湿疣"
1292,劳力民,男,,浙江大学医学院附属第二医院,皮肤科,痤疮专科,"治疗,生殖器,深入,会诊,皮肤病,硕士生,导师,皮肤性病"
1293,张宪旗,男,,浙江大学医学院附属第二医院,皮肤科,痤疮专科,"浙江省,临床,承担,科学技术,参与,皮肤性病,相关,重点"
1294,蔡绥勍,女,,浙江大学医学院附属第二医院,皮肤科,痤疮专科,"皮肤,医师,皮肤科,工作,梯队,项,sci,分会"
1295,曹越兰,女,,浙江大学医学院附属第二医院,皮肤科,过敏性皮肤病,"皮肤病,疾病,激光,工作,医学院,研究生,美肤,硕士"
1296,沈颖,女,,浙江大学医学院附属第二医院,皮肤科,过敏性皮肤病,"皮肤病,学术交流,浙江省,体形,分会,管理,硕士,临床"
1297,陈积愫,女,,浙江大学医学院附属第二医院,皮肤科,过敏性皮肤病,"疾病,美容,新药,激光,治疗,银屑病,诊断,过敏性"
1298,严建良,男,,浙江大学医学院附属第二医院,皮肤科,过敏性皮肤病,"皮炎,皮肤科,临床,斑,囊肿,常见病,激光治疗,湿疹"
1299,李伟3,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,过敏性皮肤病,"青年,皮肤性病,委员会,学组,皮肤病,学,皮肤,国家自然科学基金"
1300,黄新炎,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤病中药诊疗,"中医,委员,结合,唐祖宣,浙江大学,优秀教师,人民卫生出版社,影像"
1301,蔡绥勍,女,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"皮肤,医师,皮肤科,工作,梯队,项,sci,分会"
1302,吴贤杰,男,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"皮肤科,发表,浙江大学,国家自然科学基金,中华医学会,临床,工作,中西医"
1303,沈颖,女,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"皮肤病,学术交流,浙江省,体形,分会,管理,硕士,临床"
1304,曹越兰,女,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"皮肤病,疾病,激光,工作,医学院,研究生,美肤,硕士"
1305,张宪旗,男,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"浙江省,临床,承担,科学技术,参与,皮肤性病,相关,重点"
1306,本院专家,男,主任/副主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"本学科,综合,疾病,擅长,诊治"
1307,严建良,男,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"皮炎,皮肤科,临床,斑,囊肿,常见病,激光治疗,湿疹"
1308,陈积愫,女,,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"疾病,美容,新药,激光,治疗,银屑病,诊断,过敏性"
1309,黄新炎,男,副主任医师,浙江大学医学院附属第二医院,皮肤科,皮肤激光,"中医,委员,结合,唐祖宣,浙江大学,优秀教师,人民卫生出版社,影像"
1310,陈巧珍,女,副主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"精神疾病,擅长,诊治"
1311,马颖,女,副主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"思路,抑郁症,擅长,障碍,诊治,精神分裂症,诊断,具有"
1312,李惠春,男,主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"精神,诊治,问题,医学,焦虑症,卫生,抑郁症,失眠症"
1313,刘微波,女,主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"障碍,心理治疗,心理咨询,会诊,联络,擅长,精神疾病,诊治"
1314,林铮,男,主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"障碍,擅长,失眠症,抑郁症,精神分裂症,心理治疗,行为障碍,心理"
1315,俞少华,男,副主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"精神分裂症,诊治,抑郁症,神经症,擅长,心理治疗"
1316,陈一萍,女,副主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"情感,咨询,临床,心身疾病,问题,诊治,障碍,心理"
1317,卢蕴容,女,副主任医师,浙江大学医学院附属第二医院,精神科,滨江精神科门诊,"抑郁症,问题,焦虑症,时期,精神分裂症,青少年,失眠症,包括"
